Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Fully specified name:fr,Short name:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1000
beab4061-e63d-498a-ac08-a19ced63d074,,CIEL:166011,Immunization non-coded,Immunization non-coded,,Immunization non-coded,Immunization non-coded,Question,Text,,,,,,,,,,,
ee938d18-fa98-43e3-809f-61aa29726a46,,CIEL:163100,Procedure received by patient,"Procedure received by patient ",,Procédure reçue par le patient,Procédure reçue par le patient,Question,Coded,,Yes; No; Unknown,,,,,,,,,
997f6f38-58c6-4956-b7e0-a0163bb36313,,,Rotavirus Vaccine Set,Rotavirus vaccine,,Vaccin rotavirus set,Vaccin rotavirus,ConvSet,N/A,,,Rotavirus Vaccine; Vaccination date; Vaccination sequence number;Vaccine Manufacturer;Vaccine Lot Number;Vaccine lot expiration date;Procedure received by patient;,,,,,,,,
56701c33-fe4c-4734-b573-5b12c95b7001,,,Diptheria Tetanus Booster Set,dT,,Rappel diphterique tetanique,dT,ConvSet,N/A,,,Diptheria Tetanus Booster; Vaccination date; Vaccination sequence number;Vaccine Manufacturer;Vaccine Lot Number;Vaccine lot expiration date;Procedure received by patient;,,,,,,,,
4876e968-9b48-4748-ad65-37b0e8cb9f8b,,,Measles-Rubella Vaccine Set,Measles-Rubella vaccine,,Rubeole-rougeole vaccine,Rubeole-rougeole vaccine,ConvSet,N/A,,,Measles-Rubella Vaccine; Vaccination date; Vaccination sequence number;Vaccine Manufacturer;Vaccine Lot Number;Vaccine lot expiration date;Procedure received by patient;,,,,,,,,
d260cb77-544b-4eb4-9d4f-c2accd3daf2b,,,Pentavalent Vaccine Set,Pentavalent Vaccine,,Pentavalent vaccine,Pentavalent vaccine,ConvSet,N/A,,,Pentavalent Vaccine; Vaccination date; Vaccination sequence number;Vaccine Manufacturer;Vaccine Lot Number;Vaccine lot expiration date;Procedure received by patient;,,,,,,,,
044fd317-5a2f-495d-bacd-ca10e743729e,,,Oral Polio Vaccine Set,Oral Polio vaccine,,Oral polio vaccine,Oral polio vaccine,ConvSet,N/A,,,Oral Polio Vaccine; Vaccination date; Vaccination sequence number;Vaccine Manufacturer;Vaccine Lot Number;Vaccine lot expiration date;Procedure received by patient;,,,,,,,,
c09c6519-3685-4bba-8567-857973fafaed,,,Pneumococcal Vaccine Set,Pneumococcal Vaccine,,Vaccin pneumocoque,Vaccin pneumocoque,ConvSet,N/A,,,Pneumococcal Vaccine; Vaccination date; Vaccination sequence number;Vaccine Manufacturer;Vaccine Lot Number;Vaccine lot expiration date;Procedure received by patient;,,,,,,,,
02547ed6-16e4-45aa-a169-ba7b9adc1e96,,,BCG Vaccine Set,BCG Vaccine,,BCG vaccine,BCG vaccine,ConvSet,N/A,,,BCG Vaccine; Vaccination date; Vaccination sequence number;Vaccine Manufacturer;Vaccine Lot Number;Vaccine lot expiration date;Procedure received by patient;,,,,,,,,
5277d979-09af-46f6-bac4-32e04b9b0c3b,,,MMR Vaccine Set,MMR Vaccine,,MMR vaccine,MMR vaccine,ConvSet,N/A,,,MMR Vaccine; Vaccination date; Vaccination sequence number;Vaccine Manufacturer;Vaccine Lot Number;Vaccine lot expiration date;Procedure received by patient;,,,,,,,,
97e7c0d5-1bfb-4ba9-9eac-0ec0165b82a8,,,Chickenpox vaccine Set,VZV Vaccine,,Vaccin contre la varicelle,VZV vaccine,ConvSet,N/A,,,Chickenpox vaccine; Vaccination date; Vaccination sequence number;Vaccine Manufacturer;Vaccine Lot Number;Vaccine lot expiration date;Procedure received by patient;,,,,,,,,
f1100492-fc19-4bc4-bacb-aceeccaed400,,,Hepatitis A Vaccine Set,HepA Vaccine,,Hepatitis A vaccine,HepA vaccine,ConvSet,N/A,,,Hepatitis A Vaccine; Vaccination date; Vaccination sequence number;Vaccine Manufacturer;Vaccine Lot Number;Vaccine lot expiration date;Procedure received by patient;,,,,,,,,
3a60929a-4cb9-4183-a85d-12bc02e2678e,,,Tdap Set,Tdap,,Tdap,Tdap,ConvSet,N/A,,,Tdap; Vaccination date; Vaccination sequence number;Vaccine Manufacturer;Vaccine Lot Number;Vaccine lot expiration date;Procedure received by patient;,,,,,,,,
86ff8e6c-b86b-4f7f-bad9-c91a937728b1,,,HPV2 Vaccine Set,HPV2 Vaccine,,HPV2 vaccine,HPV2 vaccine,ConvSet,N/A,,,HPV2 Vaccine; Vaccination date; Vaccination sequence number;Vaccine Manufacturer;Vaccine Lot Number;Vaccine lot expiration date;Procedure received by patient;,,,,,,,,
b02e1006-01c6-4872-b12b-4be6fbac04d6,,,Meningococcal Vaccine Set,Meningococcal Vaccine,,Meningococcal vaccine,Meningococcal vaccine,ConvSet,N/A,,,Meningococcal Vaccine; Vaccination date; Vaccination sequence number;Vaccine Manufacturer;Vaccine Lot Number;Vaccine lot expiration date;Procedure received by patient;,,,,,,,,
a6dfea02-2840-4082-b877-0f24c1698ccc,,,Hepatitis B Vaccine Set,HepB Vaccine,,Hepatitis B vaccine,HepB vaccine,ConvSet,N/A,,,Hepatitis B Vaccine; Vaccination date; Vaccination sequence number;Vaccine Manufacturer;Vaccine Lot Number;Vaccine lot expiration date;Procedure received by patient;,,,,,,,,
ec820f76-e85a-4759-b1c2-4e4db2dd8881,,,Influenza Virus Vaccine Set,Influenza Virus Vaccine,,Influenza virus vaccine,Influenza virus vaccine,ConvSet,N/A,,,Influenza Virus Vaccine; Vaccination date; Vaccination sequence number;Vaccine Manufacturer;Vaccine Lot Number;Vaccine lot expiration date;Procedure received by patient;,,,,,,,,
8d4bc4e5-e77b-444b-a4d3-8723f7dd856b,,,Vaccination Form,Vaccination Form,,Vaccination Form,Vaccination Form,ConvSet,N/A,,,Rotavirus Vaccine Set; Diptheria Tetanus Booster Set; Measles-Rubella Vaccine Set; Pentavalent Vaccine Set; Oral Polio Vaccine Set; Pneumococcal Vaccine Set; BCG Vaccine Set; MMR Vaccine Set; Chickenpox vaccine Set; Hepatitis A Vaccine Set; Tdap Set; HPV2 Vaccine Set; Meningococcal Vaccine Set; Hepatitis B Vaccine Set; Influenza Virus Vaccine Set;,,,,,,,,
ee938d18-fa98-43e3-809f-61aa29726a46,,CIEL:1421,Vaccination History,Vaccination History,,Historique vaccinale,Historique vaccinale,ConvSet,N/A,,,Vaccinations; Vaccination date; Vaccination sequence number; Vaccine Manufacturer; Vaccine Lot Number; Vaccine lot expiration date; Immunization non-coded; Procedure received by patient;,,,,,,,,
